,replacement policy=,LRU,MRU,LFU,NRU,RAND
0,Exit tick #,1755234000,1729870000,2452126000,2088317000,1691497000
1,icache.overallHits::total,524311,524325,522624,522642,524323
2,icache.overallMisses::total,1994,1980,3681,3663,1982
3,icache.overallMissLatency::total,117531000,117561000,218787000,217174000,119592000
4,icache.overallAvgMissLatency::total,58942.326981,59374.242424,59436.837816,59288.561289,60339.051463
5,icache.overallAccesses::total,526305,526305,526305,526305,526305
6,icache.overallMissRate::total,0.003789,0.003762,0.006994,0.006960,0.003766
7,icache.replacements,1986,1972,3673,3655,1974
8,dcache.overallHits::total,120808,122197,102464,114827,122248
9,dcache.overallMisses::total,7793,6404,26137,13774,6353
10,dcache.overallMissLatency::total,342788000,314604000,975046000,588132000,274090000
11,dcache.overallAvgMissLatency::total,43986.654690,49126.171143,37305.199526,42698.707710,43143.396820
12,dcache.overallAccesses::total,128601,128601,128601,128601,128601
13,dcache.overallMissRate::total,0.060598,0.049797,0.203241,0.107106,0.049401
14,dcache.replacements,7785,6396,26129,13766,6345
